h,Low(Eur/MWh),High(Eur/MWh),Last(Eur/MWh),Weight. Avg.(Eur/MWh),Index(Eur/MWh),ID₃-Price(Eur/MWh),ID₁-Price(Eur/MWh),Buy Vol(MW),Sell Vol(MW)
20 - 21,53.5,82.49,66.7,65.43,65.43,65.18,62.54,5996,6861.7
21 - 22,51.8,70,70,65.21,65.21,65.46,67.04,5647.9,6296.9
22 - 23,51.7,85.5,68,66.38,66.38,68.36,73.62,6335.3,6772.8
23 - 24,34,63,50.83,57.07,57.07,56.55,50.48,5844.4,6164.9
00 - 01,36.49,57.6,40,47.93,47.93,48.76,46.71,3211,3820.9
01 - 02,42.9,102.8,52.5,50.6,50.6,50.38,52.49,3054.3,3412.6
02 - 03,30,50.6,30,47.44,47.44,48.41,47.89,2615.8,2767.5
03 - 04,30,55,36.88,45.71,45.71,46.32,46.3,2297.9,2695
04 - 05,40.01,49.99,46.99,46.31,46.31,46.61,47.19,3077.2,3358.1
05 - 06,43.21,55.9,49,49.99,49.99,50.38,50.16,2734.8,2553.6
06 - 07,41,67.2,54,58.01,58.01,59,63.69,3435.5,2997.8
07 - 08,40,66.68,55,61.79,61.79,62.3,56.26,3003.3,3789.1
08 - 09,40,90,75.1,65.58,65.58,65.74,66.24,2909.7,3255.3
09 - 10,45.15,67.5,50,62.43,62.43,63.33,58.72,4871.4,4596.3
10 - 11,36,71,67.5,61.73,61.74,63.33,58.51,5525.1,5382.8
11 - 12,30,85.9,60.5,64.63,64.63,64.94,72.2,5917.6,5896.1
12 - 13,52.1,80,75.9,63.51,63.51,62.92,65.57,5201.1,6877.1
13 - 14,50,97,63,57.83,57.84,58.33,60.42,5262.9,5704.7
14 - 15,45.6,70.1,58,52.14,52.15,51.54,54.61,5263.9,5383.3
15 - 16,20,55.9,36,46.51,46.51,48.84,45.95,5918.9,5947.8
16 - 17,36.9,59.99,42.5,47.43,47.43,47.63,44.05,7008,7337.3
17 - 18,38,55.65,48.9,49.52,49.52,48.49,50.3,4954.8,5309.5
18 - 19,37.2,70.7,46,59.5,59.5,59.72,53.17,7044.1,7837.2
19 - 20,49.01,67.1,50,63.69,63.69,64.19,60,6626.5,6934.4
20 - 21,44.51,68.77,63.5,64.62,64.62,63.87,62.46,6041.9,6336
21 - 22,60.7,68,63,64.34,64.34,63.26,63.26,3710.6,4201
22 - 23,56.4,67.2,61.99,63.05,63.05,59.42,59.42,3066.1,3333.2
23 - 24,-24.4,59.51,30,49.98,49.98,43.61,43.61,3392.6,3400.3
00 - 01,34.2,64.49,48,45.03,45.03,44.74,44.43,2246.6,1858.7
01 - 02,35.9,52.5,45,45.75,45.75,45.88,48.57,2670.2,2752.6
02 - 03,38.91,54.79,48.2,46.1,46.11,46.15,48.99,2804.9,2650.5
03 - 04,38.11,58.5,54.5,46.22,46.22,46.32,48.83,2508.6,2886.6
04 - 05,37.91,56.3,56.3,45.91,45.91,45.72,47.03,2483.1,2763.8
05 - 06,38.01,51.95,50,46.75,46.75,47.05,49.05,2468.7,2471.6
06 - 07,40,68.97,54,49.54,49.54,50.33,49.78,2138.7,1977.1
07 - 08,40.01,64.99,50,53.71,53.71,55.57,58.9,2461.4,2509.4
08 - 09,39.61,62.3,47.1,57.44,57.44,58.44,58.28,2865,2942.2
09 - 10,40.1,61.5,40.1,54.47,54.47,54.6,52.18,3187.3,3123.2
10 - 11,41.56,65,56.7,50.25,50.25,49.15,47.53,3861.1,3771.2
11 - 12,45.03,55,48,51.04,51.04,50.89,52.1,4435,4039.1
12 - 13,42.1,59.1,53.95,49.24,49.24,48.91,47.48,4243.9,3847.5
13 - 14,40.22,65,48,48.35,48.35,48,49.7,3418.7,3315
14 - 15,36.01,53.3,46,47.25,47.25,47.14,46.1,4417.4,4329
15 - 16,23.21,58.09,54,46.32,46.32,45.72,43.5,4233.2,4477.3
16 - 17,44.3,62.96,61,49.27,49.27,49.2,56.15,3546.2,3507.9
17 - 18,48,58.3,49,52.7,52.7,53.14,56.1,2944.5,2313.1
18 - 19,45,63,58,56.66,56.66,56.33,53.96,4329.4,4244.4
19 - 20,45.9,69,59,60.64,60.64,60.48,61.32,4390.7,4335.6
20 - 21,30,67,67,60.35,60.35,60.54,59.3,3438.2,3200.2
21 - 22,51.5,84,66,61.93,61.93,61.03,64.08,3793.9,3855.9
22 - 23,48.11,78.8,75.4,62.4,62.4,62.11,68.66,3167.9,2843.9
23 - 24,26.5,66.49,43.01,50.94,50.94,50.33,45.64,4030.8,4395.6
00 - 01,38,64.19,47,47.91,47.91,47.78,43.34,2489.1,2572.2
01 - 02,41,63.6,48,48.09,48.09,47.93,48.94,2469.2,1807.4
02 - 03,17.21,51,38.95,43.37,43.37,44.17,39.43,2492.1,1981.4
03 - 04,17,51.8,39.99,42.43,42.43,41.95,37.4,2447.5,2084.2
04 - 05,32.11,51.5,40,42.55,42.55,41.59,38.28,2950.4,2234.2
05 - 06,39.1,55.49,55,45.3,45.31,44.49,45.54,3211.8,1893.3
06 - 07,40.6,63.9,54.5,49.81,49.81,48.81,51.4,2267.5,1695.9
07 - 08,27.31,66.6,44,53.16,53.16,54.61,50.39,2249.1,2158.7
08 - 09,46,68.1,50,55.96,55.96,55.65,51.88,3353.4,3715.9
09 - 10,46,69.9,61.7,55.62,55.62,55.14,56.24,4085.8,3967.4
10 - 11,42.01,60,45,52.54,52.54,52.59,52.32,4301.2,4392.2
11 - 12,40,58,48,49.33,49.33,49.22,47.02,3902.2,4191.5
12 - 13,36,56,48.25,47.12,47.12,47.11,45.95,4085.6,4027.2
13 - 14,38,54.5,47.98,47.15,47.15,47.25,45.36,4699.8,5137.8
14 - 15,10.5,54.89,50,47.4,47.4,47.29,46.11,4634.2,4444.9
15 - 16,45.8,61.9,51,48.17,48.17,47.6,47.73,5015,4293.6
16 - 17,40.01,55.8,52,50.49,50.49,51.2,52.2,4853.8,3965
17 - 18,51.5,67,58,58.58,58.58,59.12,61.64,4056.9,3956.1
18 - 19,40,65.87,62,60.64,60.64,62.24,61.39,4050.9,3442.9
19 - 20,54.6,75.9,65,65.28,65.28,66.61,69.07,3903.2,4233.9
20 - 21,59.1,71.9,63.11,66.01,66.01,66.45,66.67,4000.6,4168.7
21 - 22,33.66,70,44.5,62.5,62.5,64.59,59.86,5013.8,4933.9
22 - 23,42.03,70,45.4,62.9,62.9,62.96,63.13,4120.3,4585
23 - 24,15,65,46,52.03,52.03,50.94,44.6,4931.5,4588.2
00 - 01,30.01,76.99,40.98,45.85,45.85,46.02,43.42,3638.1,3219.4
01 - 02,45.05,77,53.5,48.18,48.18,47.55,52.35,2889.2,2671.5
02 - 03,40.8,65.97,45.4,46.58,46.58,46.77,46.05,2090,2242.7
03 - 04,45,111,55,47.56,47.56,47.69,50.39,1416.3,1574.1
04 - 05,40,72.79,51.01,48.93,48.93,49.3,52.47,1486.6,2129.8
05 - 06,47.6,71.6,62.4,53.58,53.58,54.38,59.18,2186.9,2384.5
06 - 07,45.5,79.89,71.9,58.74,58.75,58.81,59.68,1860.2,1880.9
07 - 08,40,69.27,62,62.8,62.8,62.86,57.18,2075.2,1921
08 - 09,40.04,70.79,55.5,61.93,61.93,62.31,58.32,2306.4,2579
09 - 10,33,86.7,82,62.13,62.14,62.27,63.54,2917.3,3752.1
10 - 11,52,75.9,73.8,62.41,62.41,61.92,63.09,3923.4,4341.3
11 - 12,50.02,69.29,63.95,61.94,61.94,62.12,60.67,3907.9,3778.6
12 - 13,51.69,83.99,70.9,63.33,63.33,63.96,68.7,3653.9,3950.3
13 - 14,45,65.79,49,58.46,58.46,59.75,53.34,3237.1,3694.8
14 - 15,44,63.5,44,53.91,53.91,53.89,50.14,3936.3,4720.8
15 - 16,40.01,62.6,45.01,51.85,51.85,51.23,47.36,4388,5447.1
16 - 17,42.1,63.59,45,51.98,51.98,50.35,45.95,4383.4,5132.4
17 - 18,30,69.39,45,57.63,57.63,56.91,50.93,3421.3,4750.8
18 - 19,40.01,70.99,50,57.92,57.92,56.92,50.01,3350,4107.7
19 - 20,45.51,70.99,48,59.57,59.57,58.82,51.92,3964.8,4941
20 - 21,48,70.99,49,59.13,59.13,57.75,52.61,4391,5891.1
21 - 22,46.21,71.9,55.5,62.13,62.13,62.18,64.81,4438.1,5157.4
22 - 23,45.5,99.89,50.2,60.07,60.07,59.65,56.65,4454.9,4098.6
23 - 24,47.6,73.29,51.6,53.38,53.38,53.35,52.07,3882.2,3428.5
00 - 01,42.91,67,48,52.82,52.82,53.14,51.89,2629.3,2682.4
01 - 02,40,58.9,57,53.64,53.65,53.82,55.33,2309.4,2614.6
02 - 03,41.01,57.3,44.15,50.2,50.2,50.13,49.38,2223.1,2356.8
03 - 04,43,64,43,48.72,48.72,48.56,50.48,2401,2159.7
04 - 05,31.03,56.08,40,45.33,45.33,43.98,38.96,3017.5,2425.5
05 - 06,26.81,55,38,45.32,45.32,45.37,46.72,3082,2340.8
06 - 07,30,53.8,40,45.74,45.74,45.61,45.16,3226.8,3373.1
07 - 08,35.01,57.5,43,48.01,48.01,47.93,48.72,2788.3,2850.2
08 - 09,31.9,58.65,49.99,51.02,51.02,51.96,53.59,2754.4,2576.7
09 - 10,42.9,64.96,46,50.84,50.84,50.78,47.3,2777.3,3084.3
10 - 11,44,57,49,50.04,50.04,49.87,50.62,3519.1,3445.7
11 - 12,16,59.4,30.2,46.13,46.13,49.28,46.71,3940,3805.4
12 - 13,32,52,33.6,41.55,41.55,41.41,36.3,4931.6,4761.5
13 - 14,25,50,33,38.22,38.22,37.63,35.88,5549.2,5962.1
14 - 15,-16.2,51.5,20,37.39,37.39,38.91,35.82,5791.3,5727.2
15 - 16,34.6,51.15,51.15,40.3,40.3,39.56,39.06,5765.8,6067.9
16 - 17,28.52,66.2,50,44.88,44.88,44.18,44.59,5548.3,5486.6
17 - 18,46,61.6,53.99,55.65,55.65,56.48,54.93,3901.1,3902.5
18 - 19,42.1,64.1,53,60.91,60.91,61.9,58.97,3643.2,3452.6
19 - 20,51.4,77,77,63.55,63.55,64.3,62.82,3197.8,3103.6
20 - 21,58,79.99,69.9,66.48,66.48,67.08,68.67,3817.2,3074.4
21 - 22,45.29,71.5,64,65.56,65.56,67.12,64.93,3921.5,2989.8
22 - 23,61.1,104.9,69.9,66.04,66.04,66.65,64.32,4984.2,4330.5
23 - 24,45.31,77.9,50,64.58,64.58,65.38,65.42,5436.2,5394.8
00 - 01,54.7,82.49,62,59.01,59.01,58.21,62.34,2513.7,2432.2
01 - 02,49,74,66.01,55.85,55.85,54.86,60.58,3164.4,3140.8
02 - 03,46.1,65,57,52.22,52.22,53.08,55.9,3171.4,3263.3
03 - 04,45.6,60,50,51.08,51.08,52.09,53.68,3360.8,3390.2
04 - 05,41,59,54,49.25,49.25,49.47,49.69,2888.2,2522.5
05 - 06,29,66.7,66.7,48.65,48.66,48.6,46.98,2687.3,2269.4
06 - 07,42,58.9,57,48.46,48.46,48.45,51.57,2559,2167.3
07 - 08,15,50.9,38.2,46.19,46.2,46.5,41.74,2810.7,2250.5
08 - 09,37,54,47,45.99,45.99,45.7,44.73,3427.4,2796.7
09 - 10,37,66.99,57,46.97,46.97,46.64,54.14,4500.4,4161.6
10 - 11,25.92,53.5,52,43.1,43.1,42.5,49.7,4426.9,4494.9
11 - 12,25.4,55,48,40.31,40.31,40.47,46.47,5183.7,4640
12 - 13,25,47.5,41.04,39.12,39.12,41.01,41.3,5204.1,4842.8
13 - 14,16,46.7,30,32.91,32.91,33.88,31.58,5755.1,5453.8
14 - 15,-14,43.9,5,24.96,24.96,24.28,16.77,5849.8,5638.6
15 - 16,-30,45.5,-21.99,21.93,21.94,18.06,9.18,6942.5,7079.6
16 - 17,-13.5,47.9,-2,19.67,19.67,14.49,-2.46,6976.2,7339.7
17 - 18,0.2,82,43,34.02,34.02,32.06,44.82,7679,7868.9
18 - 19,25,56.69,40,46.8,46.81,47.17,49.48,7334.3,6814
19 - 20,42.52,61.9,50,55.55,55.55,55.65,48.43,5437.4,5985.9
20 - 21,51.51,103,70.2,58.81,58.81,58.6,65.41,5343.9,5768.5
21 - 22,53,69.99,60,58.24,58.24,59.64,65.25,5677.4,4748.8
22 - 23,50,82.8,54.8,58.68,58.68,60.83,62.36,5498.3,4907.7
23 - 24,45.01,66,60.15,55.69,55.69,56.71,53.55,5058.2,4431.2
00 - 01,46,65,59,52.91,52.91,53.47,55.66,3164.2,2840
01 - 02,43.11,60,50,51.55,51.55,52.16,53.14,3999.7,3269.7
02 - 03,1.81,54,41.3,47.49,47.49,48.68,44.08,3926.3,3610.9
03 - 04,40.1,67.99,50,48.43,48.43,47.59,50.01,2948.9,2934.7
04 - 05,39,65,63,49.17,49.17,49.41,52.22,3383.2,3082.3
05 - 06,41.8,70,65.4,52.76,52.76,53.37,57.55,3540.9,3188.6
06 - 07,46.5,78,68,63.1,63.1,64.51,69.44,3452.7,3366.3
07 - 08,52.37,82,66,70.57,70.57,71.63,72.69,3968.9,3678.2
08 - 09,59.01,80.37,71,72.02,72.02,73.06,75.3,5297.3,5872.2
09 - 10,53.4,74.6,62.2,69.17,69.17,70.22,63.88,5963,6191.1
10 - 11,57.5,70.2,61.8,66.3,66.3,66.87,65.14,5372.7,5328.2
11 - 12,50,80.7,71.1,65.9,65.9,65.29,64.36,4345.9,4589.4
12 - 13,60.9,98.99,76.5,66.8,66.8,66.53,69.56,4290.6,4300.8
13 - 14,60.8,100,99,67.62,67.62,67.7,72.28,5115.1,5099.1
14 - 15,53.5,100,100,69.06,69.06,70.43,79.55,5707.4,5697.8
15 - 16,55.1,111,94.6,70.85,70.85,71.65,77.18,6013.6,6092.7
16 - 17,22,84.88,48,70.24,70.24,72.43,70.34,7234.1,7238
17 - 18,57,78,75,71.86,71.86,72.67,70.04,8230.6,8517.3
18 - 19,61.81,103,103,75.66,75.66,75.37,80.78,7889.5,6531.9
19 - 20,58.2,94,66.6,78.71,78.71,83.83,88.24,8232.7,6562.2
20 - 21,10.01,99.99,97,77.9,77.9,80.3,76.64,8301.2,7409.7
21 - 22,65.81,140,120,79.71,79.71,80.95,89.29,7805.5,6501.5
22 - 23,61.3,84.69,64.1,76.31,76.31,77.84,80.81,9633.5,7736.1
23 - 24,22,79.29,67,71.31,71.31,72.2,67.36,7752.9,6711.2
00 - 01,40,84.7,70,66.06,66.06,66.04,65.39,3006,2840.2
01 - 02,27.61,84.31,60.02,59.54,59.54,59.15,61.94,3132.1,2898.4
02 - 03,11.8,65,62.5,57.41,57.41,57.16,60.49,3335,2888.7
03 - 04,46,65,58.99,56.29,56.29,56.33,60.6,4119.5,3195.7
04 - 05,41.09,66,66,55.45,55.45,55.82,59.62,3488.7,3155.5
05 - 06,45.02,65,53,58.43,58.43,59.32,59.7,3038.5,2494.5
06 - 07,25,68.6,52,65.34,65.34,66.2,63.4,2226.9,2340.3
07 - 08,50,82,75,73.41,73.41,74.2,77.79,2761.1,2977.7
08 - 09,55.1,90,73.61,79.87,79.87,81.13,84.39,3551.8,3754.3
09 - 10,41.2,91,80,81.66,81.66,83.99,79.7,5053.3,4258.4
10 - 11,46.7,91.9,46.7,75.89,75.89,78.8,71.97,5864.7,4871.1
11 - 12,42.04,86.6,60,73.32,73.32,73.18,64.18,5187.4,5121.6
12 - 13,65,86.1,70.01,73.03,73.03,70.37,70.14,5808,5710.2
13 - 14,44.1,99,45.21,69.05,69.05,68.21,63.98,6647.7,6230.4
14 - 15,54.9,82.99,60,67.55,67.55,66.13,60.65,6171,5876.2
15 - 16,55.7,79,63.7,64.71,64.71,62.33,59.54,5071.5,5011.3
16 - 17,58,92.7,77,66.49,66.49,63.65,65.01,4905.6,4895.9
17 - 18,41.56,80,51,70.46,70.46,70.54,63.34,5956.2,5878.3
18 - 19,46.31,81.9,65,71.77,71.77,70.97,67.24,4830.6,4862.1
19 - 20,70,125.4,125.4,76.39,76.39,73.12,76.39,4254.1,4305
20 - 21,72,96.9,89,77.54,77.54,77.61,82.84,4318.4,3957
21 - 22,63.61,84,69.3,72.43,72.43,72.4,68.55,4031.9,4018.4
22 - 23,57.4,78.1,68,69.44,69.44,69.7,69.01,4895.2,4164.4
23 - 24,50.21,70.9,60,60.83,60.83,60.64,60.87,4769.3,4892.2
00 - 01,46,64.77,50,53.79,53.8,54.09,54.05,2654.6,2687.9
01 - 02,44.91,56,46,52.39,52.39,52.52,51.16,2517.4,2454.5
02 - 03,40,57.9,44.3,50.79,50.79,50.55,50.36,2565.8,2495.4
03 - 04,30.01,57.9,35,48.84,48.84,48.69,48.42,2694.4,2733
04 - 05,42,79.09,62,52.68,52.68,52.35,57.55,2385.1,2868.2
05 - 06,45.51,70.75,66,59.93,59.93,60.82,65.81,2505.2,3039.2
06 - 07,53,72.5,72,67.56,67.56,68.24,69.3,1888.9,2152.9
07 - 08,46,76.5,50,67.84,67.84,71.14,68.92,2375.6,2665.1
08 - 09,47,79.2,47.22,65.17,65.17,66.58,61.17,2571.4,3041.2
09 - 10,33,77.5,74,65.42,65.42,65.39,65.58,3475.3,4140.1
10 - 11,40,81.4,63,63.71,63.71,64.5,67.27,4772.9,4567.5
11 - 12,40,72,55,60.42,60.42,60.29,55.1,4403.5,4182.1
12 - 13,41,63.5,63,54.01,54.01,52.48,52.67,5140.9,5027.8
13 - 14,47.2,70.4,70.4,54.15,54.15,51.93,51.46,5941.6,6046.2
14 - 15,49.46,61.99,50,54.51,54.51,54.44,58.57,5963.6,5589.1
15 - 16,40,63.89,50.03,55.69,55.69,56.36,54.51,5958,5814.2
16 - 17,41,69.9,52,61.9,61.9,61.9,55.2,4383.1,4213.6
17 - 18,61.6,81.9,71.07,72.98,72.98,72.57,74.8,4832,4931.1
18 - 19,60.6,127.98,90.33,83.02,83.02,83.76,86.45,4517.8,4406.3
19 - 20,70,195,150,89.93,89.93,92.65,105.94,4773.7,4912
20 - 21,70,199.99,190,91.43,91.43,97.89,123.03,5475.2,5129.3
21 - 22,56.1,97,75,81.37,81.37,84.78,82.99,6840.6,6044.2
22 - 23,42,98.99,61,73.1,73.1,75.88,76.92,5383.2,4984.9
23 - 24,55,75,63.1,69.49,69.49,69.47,64.43,4262.7,4196
00 - 01,40.01,70,55,55.74,55.74,55.29,54.58,3000.4,2832.5
01 - 02,52.02,69,64,56.31,56.31,55.15,56.51,3329.1,3202.4
02 - 03,48,70,69,56.36,56.36,56.96,59.61,2771.8,2694.1
03 - 04,45,65.5,60.99,55.65,55.65,56.66,58.9,2631.1,2500.6
04 - 05,50,70,50,57.24,57.24,58.61,59.43,2626.1,2470
05 - 06,47,75,47,58.74,58.74,60.76,62.79,2307.2,2282
06 - 07,26.7,79,66,69.62,69.62,70.47,73.2,2236.5,2407.9
07 - 08,66.5,90,80,75.88,75.88,76.45,77.86,2428.2,3994.2
08 - 09,50,85.1,69.02,76.52,76.52,79.12,76.88,3073.2,3311.1
09 - 10,42.1,90.1,82,73.31,73.31,74.56,78.39,3809.2,3856.8
10 - 11,65.1,78.4,76.28,71.88,71.88,71.82,74.99,4476.7,4390.1
11 - 12,59,93.09,88,73.15,73.15,72.4,78.2,4771.1,4921.9
12 - 13,51.61,75,75,65.22,65.22,65.45,66.51,4750.8,4369.5
13 - 14,48.6,80,65,59.55,59.55,60.85,68.99,5206.5,4953.7
14 - 15,38,67,48,54.89,54.89,56.96,53.79,5540.2,5194.2
15 - 16,38,67.88,48,52.74,52.74,52.83,48.31,4289.3,4097.5
16 - 17,35,88,35,54.23,54.23,52.86,46.36,5905.5,6442.2
17 - 18,49,92.99,89.99,61.1,61.1,58.83,57.44,6423.1,7038.9
18 - 19,58.11,94.65,83,69.28,69.28,71.38,74.76,8224.9,7693.5
19 - 20,40.01,84.9,72,69.21,69.21,72.1,63.23,8422.7,7503.3
20 - 21,34.2,124.2,95.01,72.73,72.73,73.22,77.5,8696.6,8389.2
21 - 22,53.1,97.1,93.1,74.07,74.07,76.44,80.75,8514.3,8349.2
22 - 23,40,80.98,47,67.32,67.32,71.15,73.57,6331.4,5491.3
23 - 24,27.82,64,43,52.49,52.49,53.3,45.75,5813.7,5521.7
00 - 01,10.5,59.99,53,51.2,51.2,51.28,50.66,3568.8,3573.9
01 - 02,40.01,60,50,51.75,51.76,52.1,52.55,3935.3,3999.6
02 - 03,14.8,65.6,51.49,50.3,50.3,49.92,46.27,4382.9,5083.4
03 - 04,28.6,62,48.08,49.49,49.49,49.48,49.36,3375.8,3878.4
04 - 05,27.8,64,54,50.89,50.89,51.6,53.45,3621.2,3930.1
05 - 06,40.01,60,47,52.23,52.23,53.73,50.7,3271.6,2692.3
06 - 07,30.01,75,47,60.07,60.07,61.48,55.06,2964.6,3007.6
07 - 08,46.61,76.6,69.99,67.85,67.85,67.26,64.91,3943.2,3906.5
08 - 09,45,72.7,54,65.27,65.27,66.85,61.42,4346.6,4376.8
09 - 10,60.31,108,100,69.58,69.58,67.46,74.29,5249.6,6284.7
10 - 11,54.05,77.5,59,67.25,67.25,66.65,66.33,5292.2,5431.1
11 - 12,45,75,50,63.42,63.42,64.02,62.35,4579.4,4974.2
12 - 13,48,75.7,64.9,55.54,55.54,54.04,55.78,5329.2,5710.7
13 - 14,44,66.4,44,54.29,54.29,55.87,56.48,6663.6,6842.4
14 - 15,37.1,77,41.5,51.53,51.54,52.33,47.4,6987.3,6889.1
15 - 16,7,57.8,40,48.84,48.84,48.41,45.16,6233.5,6358
16 - 17,38.44,88,68,48.96,48.96,46.71,43.56,5631.4,5929.6
17 - 18,44.01,90,75,56.74,56.74,55.24,58.43,5352.5,5600.5
18 - 19,50,73.95,50,63.54,63.54,63.92,58.57,6223.1,6080.1
19 - 20,30.01,77.3,38,62.65,62.65,62.04,52.82,5253.1,5207.2
20 - 21,40,74,46.4,61.39,61.39,59.85,47.82,6620.5,6865.2
21 - 22,52.35,114.5,90,63.14,63.14,60.64,69.27,5837,5831.9
22 - 23,39.21,74,65,61.51,61.51,60.5,65.64,5415.6,5414
23 - 24,35.01,65.69,38,52.39,52.39,52.69,52.52,4239.8,4326.3
00 - 01,48.1,69.36,55,55.13,55.13,55.27,57.86,3051.3,3418.2
01 - 02,44,95.9,55,54.03,54.03,53.84,53.33,3048.3,2936.8
02 - 03,43,71.89,50,53.26,53.26,53.44,51.74,3029,2922.9
03 - 04,30,62.09,39,48.85,48.85,48.18,42.83,4301.7,4469.6
04 - 05,25,51.73,47.4,46.53,46.53,45.15,38.27,3596.6,3189.4
05 - 06,36,68,62,47.06,47.06,45.53,47.66,4516,4749.5
06 - 07,44.5,68,55,48.29,48.29,47.77,49.19,3961.4,3359.5
07 - 08,21,80,38.1,50.23,50.23,51.52,57.23,4592.8,3561.4
08 - 09,45,94.1,60,55.7,55.7,56.24,54.72,3750.7,3325.2
09 - 10,46.61,100,85,64.5,64.5,62.28,65.95,4363.4,4168.4
10 - 11,42.92,69.9,63,62.26,62.26,62.63,64.49,5908.1,4409.5
11 - 12,25.01,72.98,42.9,59.89,59.89,61.65,63.81,5871.4,4400
12 - 13,46.7,70.9,70,56.78,56.78,56.51,55.36,6412.6,5388.2
13 - 14,40,72,45,50.25,50.25,51.24,52.55,6790.7,6687
14 - 15,40.5,61.1,58.5,47.99,47.99,48.06,48.37,6386,6646.1
15 - 16,38,88.97,69,50.8,50.8,52.76,59.18,7523,7541
16 - 17,37,60,49.5,49.11,49.11,50.42,52.64,5798.9,5629.2
17 - 18,46,62,55,52.1,52.1,53.41,56.38,5375.1,5479.3
18 - 19,37.01,70.9,54.9,57.52,57.52,60.71,61.35,4148.4,4203.6
19 - 20,33.01,69.9,42.5,59.5,59.51,59.62,50.46,4617.5,5127.7
20 - 21,44.01,72,55,61.04,61.04,60.58,59.64,5576.9,5732.1
21 - 22,30,63,35,55.44,55.45,55.78,47.54,4971,5404.4
22 - 23,-49,61,37.57,50.61,50.61,51.19,51.86,5852.5,6678.1
23 - 24,-20.09,49.7,30,35.92,35.92,33.21,8.9,5549.1,6568.5
00 - 01,26,51.5,41,43.71,43.72,43.3,44.38,3927.7,4528.2
01 - 02,1,51.51,29,41.95,41.95,41.38,39.6,4264.5,4724.4
02 - 03,2,49.1,2,35.01,35.01,33.29,21.08,4031,4586.3
03 - 04,11,50.2,30,35.95,35.95,32.55,27.08,4738.2,4932.7
04 - 05,5,50.1,36,35.04,35.05,31.09,31.07,5059.7,5176.8
05 - 06,25,50.1,46,36.22,36.22,31.92,34.59,4587.1,4769.1
06 - 07,15,59.7,36,39.05,39.05,38.72,39.27,4460.8,4698.3
07 - 08,30.01,51.6,42,42.17,42.17,42.95,42.83,3921.2,4297.2
08 - 09,41,54,54,47.65,47.65,48.08,50.76,3518.2,4144.4
09 - 10,37,58.99,45,45.64,45.64,45.34,45.68,3764.4,3822.1
10 - 11,20.21,49,49,38.08,38.08,38.4,37.1,4444.7,4093.6
11 - 12,-0.9,41.51,34.8,29.12,29.12,27.48,16.25,4503,4759.7
12 - 13,17.7,64.99,50,34.21,34.21,31.65,32.62,4502.1,4845.2
13 - 14,19,45,22,33.39,33.39,33.81,37.21,5607,5358.7
14 - 15,-7.9,41.58,24.5,30.54,30.54,31.6,30.32,6562.4,5746.3
15 - 16,15.5,43.65,27.95,30.09,30.09,27.85,21.73,6129.2,5641.3
16 - 17,6,46.9,24.5,32.4,32.4,28.84,27.52,5807.4,5642.4
17 - 18,-9.5,51,27,41.08,41.08,41.12,42.11,4658.6,5257.8
18 - 19,42.02,60,52.1,52.04,52.04,51.49,49.99,4334.2,4838.2
19 - 20,15.01,65.55,40,57.61,57.61,56.12,45.95,3417.2,5351.2
20 - 21,52,69.8,61.5,61.91,61.91,60.08,57.54,3934.7,6043.9
21 - 22,33,62,47.49,53.37,53.37,53.04,50.03,3573.8,4515.2
22 - 23,20,88,70,47.5,47.51,45.9,37.21,4190,4952.5
23 - 24,10.2,60,33.2,37.41,37.41,35.2,31.69,4827.3,5543
00 - 01,-15.15,40,29,19.89,19.89,18.18,13.58,3917.4,4257.1
01 - 02,-66,40,30,13.26,13.26,8.14,1.28,4265.7,4486.8
02 - 03,-19.8,36.05,19.99,11.8,11.8,2.94,12.76,4606,4979.6
03 - 04,-15,25,5,4.98,4.98,-0.01,11.41,3934.6,4386.2
04 - 05,-15,21,6,6.88,6.88,6.21,15.51,3720.1,3922.8
05 - 06,-0.5,35.9,20,17.29,17.29,23.4,12.91,4184.1,4161.6
06 - 07,24.3,47.1,44,35.82,35.82,36.41,38.68,3675.7,3766.9
07 - 08,36.81,71.49,55,47.48,47.48,46.86,47.58,3093.6,3306.5
08 - 09,30,67,54.5,54.04,54.04,54.79,57.08,3150.8,3112.4
09 - 10,25,64.99,40,48.07,48.07,48.65,44.1,4352,4264.4
10 - 11,35,65,39,44.21,44.21,44.24,43.98,5209.7,5218.7
11 - 12,-7.9,60,42,44.08,44.08,43.87,43.19,5430.2,5366.3
12 - 13,15,59.99,37,42.49,42.49,42.91,39.05,6407.1,6321.9
13 - 14,10.01,66,48,40.34,40.34,39.19,37.48,5739.3,5680.1
14 - 15,24.1,50.5,37,40.78,40.78,39.72,36.65,5874,5832.3
15 - 16,38.1,69.6,64.9,46.57,46.57,46.26,53.42,6732,6708.3
16 - 17,41.04,65.5,65.5,51.22,51.22,52.08,57.73,5195.4,5361.8
17 - 18,40.11,71.69,60.9,60.14,60.15,62.41,68.65,4818.9,4514.8
18 - 19,50.51,90,90,65.56,65.56,66.76,66.37,5456.2,4995.1
19 - 20,57.61,93.49,90,71.65,71.65,72.51,76.8,7055.5,6634.5
20 - 21,59.81,95,95,74.16,74.16,75.21,80.21,7087.7,6621.8
21 - 22,56.01,79.99,73.1,68.94,68.94,70.25,68.44,6765,7155.2
22 - 23,50,124.99,67.4,61.83,61.83,62.95,71.12,5069.3,5347.7
23 - 24,45.5,59,55.69,52.1,52.1,53.18,50.88,6890.8,6958.4
