1577.625,1407.875,1422.425,1398.375,1361.300,1565.525,1507.250,1527.125,1387.150,1618.025,1560.925,1524.575,1463.200,1264.275,1399.425,1408.650,1386.825,1555.775,1517.900,1375.075,1330.275,1306.050,1392.675,1426.550," 34,684.85 "
655.100,709.300,653.650,665.975,666.000,745.100,908.700,869.100,642.025,657.150,807.300,796.250,663.900,768.950,687.675,613.450,817.425,892.200,644.525,530.000,632.525,629.850,673.000,505.550," 16,834.70 "
855.075,939.000,704.300,661.025,764.675,1081.600,1190.975,1260.600,1248.550,975.025,971.125,929.925,951.450,972.450,1007.525,939.375,1000.700,947.000,930.175,1003.800,1091.650,1056.450,977.025,808.675," 23,268.15 "
708.250,685.225,654.325,687.600,677.775,707.525,762.475,1094.275,747.900,641.975,652.300,699.675,620.100,589.900,676.250,702.125,776.975,807.075,803.575,619.300,831.000,892.175,1040.175,828.050," 17,906.00 "
620.100,629.325,677.225,650.575,656.925,823.000,842.100,931.000,662.175,615.250,629.150,631.700,632.075,654.975,594.950,622.025,618.225,577.925,556.550,589.275,702.325,543.550,454.675,489.850," 15,404.93 "
1083.300,907.925,926.800,979.375,997.975,1033.725,1005.350,1012.825,1064.025,962.875,965.125,882.750,1000.150,1001.575,928.225,898.525,902.975,888.050,814.400,834.775,948.875,873.000,805.175,804.125," 22,521.90 "
960.200,750.175,790.150,841.500,901.225,938.925,794.450,914.100,1068.750,892.175,911.075,946.900,931.700,995.000,984.275,983.275,993.225,965.325,831.275,743.450,844.425,723.225,704.125,771.900," 21,180.83 "
1113.600,1066.600,1008.325,1107.000,1173.650,970.825,808.750,980.025,931.775,1228.850,1064.500,1100.275,850.950,806.850,931.200,946.275,845.025,786.275,681.675,863.075,1061.125,962.100,937.050,1012.550," 23,238.33 "
733.900,696.325,659.400,655.925,490.600,790.250,975.925,912.400,951.025,962.625,855.825,827.050,939.025,965.925,928.725,928.550,990.950,993.175,786.950,942.575,1250.000,1320.150,1194.975,1620.725," 22,372.98 "
1140.850,1032.225,1155.900,1299.775,1175.750,1282.775,1317.950,1233.200,1025.525,1070.800,1111.650,1112.250,1088.075,1069.250,1072.975,1010.775,1279.900,1215.350,1130.550,975.550,1303.750,1233.150,1497.225,1460.400," 28,295.60 "
670.025,698.475,598.525,710.125,560.525,701.325,824.350,1071.900,1768.025,887.200,801.550,695.050,854.850,708.725,704.150,697.750,822.350,751.175,763.825,699.250,727.475,553.450,685.850,794.725," 18,750.65 "
1374.575,1237.700,1333.175,1326.075,1370.200,1287.425,1385.875,1443.100,1208.475,1238.200,1121.650,1001.625,1208.175,1140.650,1063.700,1036.400,970.375,1169.300,1029.375,933.425,1096.425,1014.725,948.250,734.225," 27,673.10 "
541.225,513.200,505.925,565.100,590.000,784.675,803.600,705.400,724.825,639.250,665.100,665.975,651.025,622.800,634.425,527.900,653.875,690.675,480.650,603.300,563.800,547.875,535.425,614.825," 14,830.85 "
576.950,602.500,636.025,634.800,640.925,630.075,596.950,628.725,527.150,462.050,428.025,685.450,607.775,616.125,460.850,593.900,501.150,490.025,711.650,685.750,613.650,481.375,493.350,509.700," 13,814.93 "
1550.225,1484.925,1380.675,1249.300,1188.750,1419.400,1370.400,1376.875,1412.225,1749.925,1872.850,1715.150,1409.575,1434.500,1423.975,1293.925,1282.950,1468.325,1421.225,1335.375,1179.550,1317.250,1154.925,1107.025," 33,599.30 "
